t,x,y,m,id
0,530.427934288496,777.152515925764,0,1
0,561.473247518823,389.810278237891,0,2
0,700.958032841189,114.906380844217,0,3
0,746.157790097245,647.273427957327,0,4
0,299.154072573767,461.679294695076,0,5
0,289.088695963368,683.491503081187,0,6
0,707.350449975481,345.466348126961,0,7
0,312.86178872819,176.181714062175,0,8
0,114.0880651341,240.726786930609,0,9
0,167.681818181818,794.601275917065,0,10
0,687.750602140738,639.008421187501,0,11
0,243.988807663666,600.859046514292,0,12
0,753.650188933873,525.30198305593,0,13
0,260.375632210485,653.862346788061,0,14
0,575.234742096827,237.757356661453,0,15
0,695.718213586804,391.368246202591,0,16
0,604.21272303987,705.441782761145,0,17
0,759.934615806972,774.526394408736,0,18
0,673.62380168141,731.406640943597,0,19
0,17.5481660944653,724.400007542655,0,20
0,144.422690239614,555.834347750808,0,21
0,463.723463687151,162.184357541899,1,22
0,684.689243176179,521.438672456576,0,23
0,693.888905593559,669.322913795552,0,24
0,484.152069776461,385.242886165113,0,25
0,8.00939739744828,310.036599896401,0,26
0,76.6710736828263,658.736265743257,0,27
0,550.592634292588,432.191464078619,0,28
0,371.184253903279,219.046170830622,0,29
0,76.383420412012,149.204413590047,0,30
0,124.448930400372,389.569343575419,0,31
0,790.920868647228,379.339597155287,0,32
0,203.809384291199,506.566102820195,0,33
0,500.259527261186,409.47886064126,0,34
0,188.029804014199,111.291111417305,0,35
0,589.340634910013,769.880616061238,0,36
0,302.16394257536,123.753022349479,0,37
0,444.585893355317,690.501504621415,0,38
0,337.464741226908,654.055217804368,0,39
0,256.985260299193,78.2982016042103,0,40
0,517.34707558237,16.4274132730015,0,41
0,90.2309098345988,172.108437785862,0,42
0,415.196881710474,456.17965329312,0,43
0,385.153045586051,630.484162170615,0,44
0,582.381270226537,716.186578791374,0,45
0,733.502616453459,31.1105245877718,0,46
0,9.61895467489321,785.897114776143,0,47
0,629.925760822348,325.686729361937,0,48
0,405.580441526956,334.602864583333,0,49
0,607.581980175966,212.917182769897,0,50
0,226.020830542382,656.16018831105,0,51
0,118.862731728857,213.289693075222,0,52
0,640.542070051161,789.201087429317,0,53
0,269.105466142485,415.43324760921,0,54
0,704.903146790591,83.66201277269,0,55
0,139.673986459348,773.813975084428,0,56
0,728.377091783266,184.179108967128,0,57
0,759.231813366372,9.09098883143001,0,58
0,762.65182454884,727.914240553792,0,59
0,721.485094972624,506.970520447488,0,60
0,150.845175968305,26.1925676026983,0,61
0,782.741224053724,354.12438949939,0,62
0,109.317033436599,26.1909162126553,0,63
0,37.3793887338295,239.586098558686,0,64
0,150.313328565905,676.30193199616,0,65
